function_name,execution_time,memory_used_mb,memory_peak_mb,timestamp
model_fitting,0.010624885559082031,0.03125,147.234375,2025-07-27 08:18:16.630275
model_fitting,0.012572050094604492,0.0,147.234375,2025-07-27 08:18:16.653170
model_fitting,0.012711048126220703,0.0,147.234375,2025-07-27 08:18:16.674957
model_fitting,0.012367725372314453,0.00390625,147.2421875,2025-07-27 08:18:16.699738
model_fitting,0.015026569366455078,0.01953125,147.265625,2025-07-27 08:18:16.724499
model_fitting,0.0187380313873291,0.03515625,147.30859375,2025-07-27 08:18:16.761728
model_fitting,0.0054934024810791016,0.0,147.30859375,2025-07-27 08:18:16.781379
model_fitting,0.015795469284057617,0.0,147.30859375,2025-07-27 08:18:16.799254
model_fitting,0.008245229721069336,0.0,147.33203125,2025-07-27 08:18:18.694631
model_fitting,0.013229608535766602,0.0,147.3359375,2025-07-27 08:18:18.719141
model_fitting,0.013018608093261719,0.0,147.3359375,2025-07-27 08:18:18.739306
model_fitting,0.012038707733154297,0.00390625,147.34375,2025-07-27 08:18:18.765312
model_fitting,0.013323783874511719,0.0,147.34375,2025-07-27 08:18:18.787869
model_fitting,0.009443283081054688,0.00390625,147.3515625,2025-07-27 08:18:18.807348
model_fitting,0.009880542755126953,0.0,147.3515625,2025-07-27 08:18:18.828280
model_fitting,0.009607791900634766,0.0,147.3515625,2025-07-27 08:18:18.846958
model_fitting,0.012651920318603516,0.0,147.35546875,2025-07-27 08:18:18.871581
model_fitting,0.010704994201660156,0.0,147.35546875,2025-07-27 08:18:18.895520
model_fitting,0.01553964614868164,0.0,147.35546875,2025-07-27 08:18:18.922487
model_fitting,0.010833978652954102,0.00390625,147.36328125,2025-07-27 08:18:18.944581
model_fitting,0.014773130416870117,0.0,147.3671875,2025-07-27 08:18:18.969525
model_fitting,0.012939214706420898,0.0078125,147.375,2025-07-27 08:18:18.988623
model_fitting,0.014104366302490234,0.0,147.375,2025-07-27 08:18:19.009714
model_fitting,0.026303529739379883,0.0,147.37890625,2025-07-27 08:18:19.051195
model_fitting,0.028970956802368164,0.00390625,147.38671875,2025-07-27 08:18:19.094771
model_fitting,0.022128820419311523,0.0078125,147.39453125,2025-07-27 08:18:19.132209
model_fitting,0.023260116577148438,0.01171875,147.41015625,2025-07-27 08:18:19.175400
model_fitting,0.024148225784301758,0.0,147.41015625,2025-07-27 08:18:19.218480
model_fitting,0.014198064804077148,0.0,147.41015625,2025-07-27 08:18:19.246770
model_fitting,0.019948482513427734,0.0078125,147.421875,2025-07-27 08:18:19.277894
model_fitting,0.023384571075439453,0.015625,147.44140625,2025-07-27 08:18:19.317484
model_fitting,0.029243946075439453,0.03125,147.4765625,2025-07-27 08:18:19.365988
model_fitting,0.023939132690429688,0.0,147.48046875,2025-07-27 08:18:19.405263
model_fitting,0.010347604751586914,0.0078125,147.4921875,2025-07-27 08:18:19.429041
